Retail ID,Retail Bldg Name,Retail Bldg Address,POSTAL,X-COORDINATES,Y-COORDINATES
140,Kallang Wave Mall,1 STADIUM PLACE 397628,397628,32388.4352,31797.9171
141,Pacific Plaza,9 Scotts Road 228210,228210,27867.3215,32095.7654
142,Westgate,3 Gateway Drive 608532,608532,17902.4122,35135.442
143,Wheelock Place,501 Orchard Road 238880,238880,27710.1599,31874.521
144,Northpoint,930 Yishun Avenue 2 769098,769098,28273.529,45714.3116
145,Robertson Walk,11 Unity Street 237995,237995,28905.5005,30473.8661
146,Bedok Point,799 New Upper Changi Road 467351,467351,39012.6216,34155.0758
147,Esplanade Mall,8 Raffles Avenue 039802,039802,30494.8753,30230.7993
148,Great World City,1 Kim Seng Promenade 237994,237994,27845.2429,30616.0209
149,Orchard Shopping Centre,321 Orchard Road 238866,238866,28508.5464,31538.8182
150,West Mall,1 Bukit Batok Central Link 658713,658713,18624.3519,36909.9589
151,Loyang Point,258 Pasir Ris Street 21 510258,510258,42614.025,38789.1655
152,The Rail Mall,380 Upper Bukit Timah Road 678040,678040,20746.6115,37757.39
153,Downtown East,1 Pasir Ris Close 519599,519599,41461.717,39953.7992
154,Jurong Point Shopping Centre,1 Jurong West Central 2 648886,648886,13907.0305,35735.7565
155,The Punggol Settlement,3 Punggol Point Road 828694,828694,36778.3071,44739.7918
156,Cathay Building,2 Handy Road 229233,229233,29626.7218,31290.1369
157,DUO Galleria,7 Fraser Street 189356,189356,30731.1894,31280.3712
158,Plaza Singapura,68 Orchard Road 238839,238839,29299.1005,31385.9036
159,Zhongshan Mall Balestier,20 Ah Hood Road 329984,329984,29473.0099,34352.362
