Office_ID,Office Name,Office Address,POSTAL,X-COORDINATES,Y-COORDINATES
76,Selegie Centre,189 Selegie Road 188332,188332,29858.6035,31824.1515
77,Urban Heritage,238 Balestier Road 329701,329701,30227.5306,33788.3351
78,Tong Eng Building,101 Cecil Street 069533,069533,29788.8966,29268.2629
79,Tanglin Shopping Centre,19 Tangling Road 247909,247909,27300.8643,32077.5799
80,Richfield Industrial Centre,122 Eunos Avenue 7 409575,409575,35004.125,33951.8615
81,Keppel Towers,10 Hoe Chiang Road 089315,089315,28932.2266,28542.4619
82,Parkway Parade,80 Marine Parade Road 449269,449269,36008.8613,31492.4522
83,Eastgate,46 East Coast Road 428766,428766,35792.8049,31858.8199
84,ICB Enterprise House,116 Middle Road 188972,188972,30246.8105,31292.4658
85,One Raffles Place,1 Raffles Place 048616,048616,29965.8309,29641.312
86,North Bridge Centre,420 North Bridge Road 188727,188727,30406.7869,31065.0787
87,The Herencia,46 Kim Yam Road 239351,239351,28672.5867,30521.3643
88,Clifford Centre,24 Raffles Place 048621,048621,30093.5899,29587.7907
89,The Octagon,105 Cecil Street 069534,069534,29766.9996,29222.2107
90,Regency House,121 Penang Road 238464,238464,28971.4141,31313.9163
91,6 Raffles Quay,6 Raffles Quay 048580,048580,30010.572,29361.8204
92,Ngee Ann City,391 Orchard Road 238872,238872,28240.3701,31634.5883
93,20 Collyer Quay,20 Collyer Quay 049319,049319,30153.4647,29678.6449
94,Cecil Court,138 Cecil Street 069538,069538,29708.2349,29250.4435
95,Springleaf Tower,3 Anson Road 079909,079909,29438.6756,28618.0294
96,Tokio Marine Centre,20 Mccallum Street 069046,069046,29624.7688,29111.8498
97,Marina One,7 Central Boulevard 018936,018936,30177.38,28943.8605
98,The Strategy,2 International Business Park 609930,609930,18423.4999,34717.9591
99,Delta House,2 Alexandra Road 159919,159919,27114.1362,30380.3558
100,Centennial Tower,3 Temasek Avenue 039190,039190,30999.0106,30654.4726
101,Tong Building,302 Orchard Road 238862,238862,28167.9223,31809.1754
102,Hong Lim Complex,531 Upper Cross Street 050531,050531,29378.4049,29620.169
103,The Synergy,1 International Business Park 609917,609917,18579.2473,34586.45
104,Hillview Warehouse,29 Hillview Terrace 669245,669245,19589.5481,37173.4695
105,Maybank Tower,2 Battery Road 049907,049907,30137.2885,29812.9328
106,Sin Ming Plaza,6 Sin Ming Road 575585,575585,28343.7298,37218.3143
107,100 AM,100 Tras Street 079027,079027,29134.8517,28588.0263
108,JTC Flatted Factory,9 Kallang Place 339154,339154,31890.0906,33152.2223
109,Far East Square,31 Pekin Street 048761,048761,29672.2895,29556.2221
110,Fuji Xerox Towers,80 Anson Road 079907,079907,29149.8273,28405.5657
111,Singapore Land Tower,50 Raffles Place 048623,048623,30093.2749,29691.0696
112,Central Mall,1 Magazine Road 059567,059567,29001.5479,30091.6637
113,Uob Plaza 1,80 Raffles Place 048624,048624,29883.9218,29777.7637
114,Orchard Parade Hotel,1 Tanglin Road 247905,247905,27379.0917,32099.9628
115,Shaw Centre,1 Scotts Road 228208,228208,27851.0517,32056.9238
116,Republic Plaza,9 Raffles Place 048619,048619,29950.9709,29480.6944
117,Manulife Centre,51 Bras Basah Road 189554,189554,29853.1526,31149.1316
118,SGX Centre I,2 Shenton Way 068804,068804,29858.024,29121.3082
119,Millenia Walk,9 Raffles Boulevard 039596,039596,30896.4005,30595.0389
120,The Signature,51 Changi Business Park Central 2 486066,486066,42685.8152,35218.2162
121,United Square,101 Thomson Road 307591,307591,29151.682,33260.6239
122,Hong Leong Building,16 Raffles Quay 048581,048581,29958.7916,29312.1383
123,Asia Square Tower 1,8 Marina View 018960,018960,29996.2802,29044.3275
124,Central Square,20 Havelock Road 059765,059765,29109.2681,30063.5819
125,Westgate Tower,1 Gateway Drive 608531,608531,17942.7681,35194.8952
126,International Building,360 Orchard Road 238869,238869,27742.3332,32044.6735
127,Keck Seng Tower,133 Cecil Street 069535,069535,29745.217,29187.5281
128,King's Centre,390 Havelock Road 169662,169662,28272.3341,30223.7444
129,Six Battery Road Building,6 Battery Road 049909,049909,30052.8755,29766.2199
130,CapitaGreen,138 Market Street 048946,048946,29859.618,29372.0079
131,Ocbc Centre,65 Chulia Street 049513,049513,29756.6561,29718.0712
132,OUE Downtown 2,6 Shenton Way 068809,068809,29746.6973,28935.4698
133,The Prospex,108 Middle Road 188967,188967,30299.1878,31249.6005
134,146 Robinson Road,146 Robinson Road 068909,068909,29644.6196,28959.0541
135,OG Albert Complex,60 Albert Street 189969,189969,30278.7877,31635.8781
136,Gateway East,152 Beach Road 189721,189721,30903.9497,31243.0135
137,Thong Teck Building,15 Scotts Road 228218,228218,27934.5665,32244.7882
138,79 Anson Road,79 Anson Road 079906,079906,29374.5309,28508.8177
139,Shaw Towers,100 Beach Road 189702,189702,30635.5529,30940.5997
140,Chevron House,30 Raffles Place 048622,048622,30073.9695,29625.1055
141,One Raffles Quay,1 Raffles Quay 048583,048583,30068.9205,29288.6301
142,The Concourse,300 Beach Road 199555,199555,31263.0022,31482.6977
143,112 Robinson,112 Robinson Road 068902,068902,29724.7866,29082.0656
144,City House,36 Robinson Road 068877,068877,29831.0162,29295.8721
145,Parkview Square,600 North Bridge Road 188778,188778,30704.0082,31394.5523
146,Raffles City Tower,250 North Bridge Road 179101,179101,30228.1576,30718.6562
147,Lian Huat Building,163 Tras Street 079024,079024,29187.7672,28577.4186
148,Sime Darby Centre,896 Dunearn Road 589472,589472,22478.9958,35428.384
149,120 Robinson Road,120 Robinson Road 068913,068913,29710.0309,29059.3021
150,Royal Group Building,3 Phillip Street 048693,048693,29852.6523,29683.3738
151,78 Shenton Way,78 Shenton Way 079120,079120,29331.4538,28410.5297
152,Bharat Building,3 Raffles Place 048617,048617,29983.3441,29540.4856
153,Icon @ IBP,3A International Business Park 609935,609935,18640.5962,34425.8495
154,Robinson Point,39 Robinson Road 068911,068911,29806.2357,29116.3102
155,Asia Square Tower 2,12 Marina View 018961,018961,29963.0584,28980.4176
156,"Biopolis, Nucleos",21 Biopolis Road 138567,138567,23418.1068,31578.7037
157,Jit Poh Building,19 Keppel Road 089058,089058,29014.3331,28386.856
158,Bugis Junction Tower,230 Victoria Street 188024,188024,30515.7317,31352.6231
159,Hub Synergy Point,70 Anson Road 079905,079905,29266.4505,28499.8154
160,Marina Bay Financial Centre Tower 3,12 Marina Boulevard 018982,018982,30353.4049,29052.732
161,10 Raeburn Park,10 Raeburn Park 088702,088702,27979.6938,28469.6301
162,Acer Building,29 International Business Park 609923,609923,18310.2474,34354.665
163,Income at Raffles,16 Collyer Quay 049318,049318,30139.7011,29617.2929
164,Ocean Financial Centre,10 Collyer Quay 049315,049315,30061.5647,29528.6928
165,Starhub Centre,51 Cuppage Road 229469,229469,28760.9447,31688.4523
166,UE Bizhub East,0 Changi Business Park Avenue 1 486000,486000,42639.3829,35975.7676
167,Bank of Singapore Centre,63 Market Street 048942,048942,29925.4033,29636.2872
168,Capital Square,23 Church Street 049481,049481,29739.0108,29576.0862
169,Keppel Bay Tower,1 Harbourfront Avenue 098632,098632,26324.2373,27487.5196
170,Fusionopolis,1 Fusionopolis Way 138632,138632,22901.5955,31277.1051
171,Goldbell Towers,47 Scotts Road 228233,228233,28412.7687,32745.5861
172,Twenty Anson,20 Anson Road 079912,079912,29369.8666,28646.6931
173,Winsland House I,3 Killiney Road 239519,239519,28774.565,31331.5395
174,Great World City,1 Kim Seng Promenade 237994,237994,27845.2429,30616.0209
175,One George Street,1 George Street 049145,049145,29612.5367,29787.114
176,1 Finlayson Green,1 Finlayson Green 049246,049246,29999.6921,29409.2066
177,Anson Center,51 Anson Road 079904,079904,29382.7303,28554.1289
178,DUO Tower,3 Fraser Street 189352,189352,30731.1894,31280.3712
179,Faber House,230 Orchard Road 238854,238854,28547.9406,31568.6221
180,HarbourFront Tower One,1 HarbourFront Place 098633,098633,26409.4606,27502.5323
181,One Fullerton,1 Fullerton Road 049213,049213,30299.6088,29798.2851
182,OUE Bayfront,50 Collyer Quay 049321,049321,30188.8395,29501.3192
183,Realty Centre,15 Enggor Street 079716,079716,29206.5749,28492.5992
184,Singapore Post Centre,10 Eunos Road 8 408600,408600,34834.6405,33459.4798
185,150 Cecil Street,150 Cecil Street 069543,069543,29672.089,29191.7062
186,55 Market Street,55 Market Street Singapore 048941,048941,29930.0865,29655.4016
187,80 Robinson Road,80 Robinson Road 068898,068898,29780.4272,29176.6159
188,Ascent,2 Science Park Drive 118222,118222,22574.1486,30386.8595
189,Cantonment Central,1557 Keppel Road 089066,089066,28810.4527,28408.4942
190,CES Centre,171 Chin Swee Road 169877,169877,28767.4895,29907.3593
191,Royal Building (formerly One...,1 Phillip Street 048692,048692,29858.241,29712.245
192,991 Alexandra,991 Alexandra Road 119964,119964,24615.9766,28544.3828
193,Alexandra Point,438 Alexandra Road 119958,119958,24523.852,28860.8281
194,Finexis Building,108 Robinson Road 068900,068900,29742.6488,29110.1277
195,Marina Bay Financial Centre Tower 2,10 Marina Boulevard 018981,018981,30285.3351,29122.8625
196,Millenia Tower,1 Temasek Avenue 039192,039192,31002.7137,30562.51
197,Novena Square - Tower A,238A Thomson Road 307684,307684,29197.4607,33564.3103
198,PSA Building,460 Alexandra Road 119963,119963,24447.6476,28514.4584
199,Robinson Centre,61 Robinson Road 068893,068893,29783.6837,29079.7848
200,Teletech Park,20 Science Park Road 117674,117674,22279.2629,29889.0842
201,The Alpha,10 Science Park Road 117684,117684,22028.7314,30072.3185
202,456 Alexandra Rd (Fragrance...,456 Alexandra Road 119962,119962,24439.9179,28632.3226
203,9 Tampines Grande,9 Tampines Grande 528735,528735,40017.3247,37533.6726
204,BEA Building,60 Robinson Road 068892,068892,29822.9754,29239.0568
205,Changi City,1 Changi Business Park 486036,486036,42385.0631,35080.404
206,CPF Jurong Building,21 Jurong East Street 609646,609646,,
207,Guthrie House,1 Fifth Avenue 268802,268802,23813.4774,34786.8189
208,Nordic European Centre,3 International Business Park 609927,609927,18561.3276,34387.3732
209,Pwc Building,8 Cross Street 048424,048424,29747.8632,29427.6279
210,Tempco Technominium,16 Ayer Rajah Crescent 139965,139965,23051.1167,30893.0792
211,Union Building,171 Tras St 079025,079025,29180.7601,28548.6057
212,China Square Food Centre,51 Telok Ayer Street 048441,048441,29776.5712,29481.7606
213,HarbourFront Tower Two,3 HarbourFront Place 099254,099254,26371.5992,27446.002
214,Liat Towers,541 Orchard Road 238881,238881,27711.6829,31937.6847
215,Mapletree Anson,60 Anson Road 079914,079914,29322.4589,28596.8674
216,Sif Building,96 Robinson Road 068899,068899,29751.2008,29127.5383
217,Skyline Building,192 Waterloo Street 187966,187966,30212.2741,31507.4796
218,SLF Building,510 Thomson Road 298135,298135,28643.7602,35075.7233
219,Stamford Court,61 Stamford Road 178892,178892,29862.5759,30762.7958
220,Chiat Hong Building,110 Middle Road 188968,188968,30285.6768,31260.0383
221,Goodland Group Building,3 KIM CHUAN LANE 537069,537069,34483.8783,35711.3525
222,Inchcape Marketing Building,1557 Keppel Road 089066,089066,28810.4527,28408.4942
223,Odeon Towers,331 North Bridge Rd 188720,188720,30217.6979,30935.2763
224,Plaza 8 @ CBP,1 Changi Business Park Crescent 486025,486025,42700.6185,35088.7994
225,Royal Brothers Building,22 Malacca Street 048980,048980,29952.5136,29598.102
226,Straits Trading Building,9 Battery Road 049910,049910,30114.259,29729.0572
227,Wilmer Place,50 Armenian Street 179938,179938,29820.7409,30750.0778
228,Winsland House II,163 Penang Road 238463,238463,28847.2057,31322.112
229,5 Shenton Way,5 Shenton Way 068808,068808,29808.1173,28908.988
230,Capital Tower,168 Robinson Road 068912,068912,29588.0397,28905.6205
231,Chijmes,30 Victoria Street 187996,187996,30096.8805,30885.7793
232,CPF Tampines Building,1 Tampines Central 5 529508,529508,40289.0425,37244.7576
233,Far Eastern Bank Building,156 Cecil Street 069544,069544,29652.8314,29162.3833
234,Marina Bay Financial Centre Tower 1,8 Marina Boulevard 018981,018981,30285.3351,29122.8625
235,Rigel Innovation Centre,20 Changi Business Park Central 2 486031,486031,42963.7874,35524.532
236,Tan Chong Tower,15 Queen Street 188537,188537,30155.6169,31152.9
237,The Galen,61 Science Park Road 117525,117525,22520.9746,29885.9938
238,The Globe,100 Cecil Street 069532,069532,29740.568,29286.9927
239,Tower Fifteen,15 Hoe Chiang Road 089316,089316,28986.2737,28473.099
240,Tung Ann Assn Building,141 Cecil Street 069541,069541,29679.7467,29079.1735
241,135 Cecil Street,135 Cecil Street 069536,069536,29713.1669,29147.1845
242,223 @ Mountbatten,223 Mountbatten Road 398008,398008,33082.2064,32309.0471
243,China Square Central (Office),20 Cross Street 048422,048422,29574.901,29575.6082
244,Cintech I - ( Singapore Science...,73 Science Park Drive 118254,118254,23099.9078,30338.2899
245,Infinite Studios @ Mediapolis,1 Portsdown Road 138562,138562,23700.5089,30530.8352
246,Kitchener Complex,808 French Road 200808,200808,31115.4009,32346.6634
247,Lavender Place,161 Lavender Street 338750,338750,31052.1394,32808.7361
248,Mas Building,10 Shenton Way 079117,079117,29483.9336,28577.7765
249,Pek Chuan Building,116 Lavender Street 338730,338730,31233.4184,32685.6873
250,Phoenix Park Office Campus,318 Tanglin Road 247979,247979,26034.1685,31142.7507
251,Riverside Point,30 Merchant Road 058282,058282,29216.5279,30176.143
252,Sia Building,77 Robinson Road 068896,068896,29681.4266,28912.7656
253,Singapore Handicraft Building,72 Eunos Avenue 7 409570,409570,35257.1922,33960.6241
254,Tan Chong Motor Centre,911-913 Bukit Timah Road 589622,589622,23045.4242,35055.0173
255,The House Of Eden,4 Robinson Road 048543,048543,29960.9964,29421.8099
256,The Pines Club,30 Stevens Road 257840,257840,27392.8359,32922.6938
