ID,POSTAL,X-COORDINATES,Y-COORDINATES
583,128097,19543.9825,32880.5844
584,128519,20322.7375,31983.0292
585,128520,20327.7626,31985.8891
586,128526,20357.8525,31935.7969
587,128613,20017.6383,32307.9245
588,128615,20026.7391,32307.9482
589,128634,20086.5788,32302.0084
590,128636,20098.2534,32305.5867
591,128637,20105.0037,32309.8618
592,128793,19820.7625,33283.3169
593,128794,19782.4265,33246.3604
594,128795,19743.5036,33209.0129
595,128797,19867.9511,33139.9886
596,128798,19926.7469,33196.5497
597,128799,19872.4012,33256.7287
598,128800,19861.4416,33368.4915
599,128801,19861.5376,33368.5697
600,128802,19861.5376,33368.5697
601,128803,20012.3035,33281.502
602,128805,19946.096,33315.6011
603,128949,19332.3486,33826.3697
604,129009,19412.9632,33683.8681
605,129041,19544.5599,33768.1399
606,129195,19469.289,33979.3747
607,129196,19420.0639,34009.112
608,129197,19354.721,34041.7193
609,129198,19409.3033,34057.4868
610,129199,19441.3666,34055.8599
611,129200,19527.7437,34006.2336
612,129201,19586.2597,33966.6032
613,129202,19653.2292,33916.5118
614,129203,19694.0907,33905.7675
615,129204,19668.8784,33885.8326
616,129205,19598.1325,33903.8567
617,129206,19547.8597,33943.4555
618,129407,19479.3153,33662.5721
619,129410,19474.0254,33654.855
620,129413,19465.7127,33650.7748
621,129416,19460.3035,33642.7753
622,129419,19451.7095,33638.7246
623,129422,19446.1722,33630.7143
624,129425,19437.7157,33626.3838
625,129521,19680.3992,33357.3943
626,129745,20799.0721,30580.815
627,129747,20810.9299,30580.0557
628,129749,20807.8011,30591.7183
629,129754,20820.866,30608.1237
630,129783,21361.9115,32654.8944
631,129784,21334.0958,32607.9519
632,129785,21264.4207,32585.3511
633,129788,20739.0326,31458.911
634,129789,20761.2418,31518.3216
635,129790,20654.9934,31643.4379
636,129791,20716.1965,31618.5221
637,129792,20791.6054,31593.9935
638,129793,20813.9294,31653.5442
639,129799,20906.06,31620.8969
640,129800,20958.7518,31613.632
641,129801,20986.7815,31660.704
642,138638,22995.1179,31964.6678
643,138642,23168.7434,31616.7065
644,138643,23179.109,31564.6057
645,138678,22495.5535,31783.8119
646,138679,22451.6609,31861.5916
647,138680,22542.302,31861.3451
648,138684,22546.7594,31964.5304
649,138685,22420.1097,31968.2175
650,138686,22440.0557,32048.5503
651,138687,22549.7699,32046.804
652,138688,23974.6095,30801.4023
653,138689,23986.4472,30867.7824
654,138690,23930.0546,30874.0758
655,138691,23880.3765,30915.4462
656,138692,23916.4913,30961.8446
657,138693,23867.9723,30983.0673
658,138694,23645.8116,30988.0317
659,138695,23827.159,30957.9877
660,138696,23608.312,31035.7904
661,138697,23696.2008,31015.6615
662,138698,23757.5528,31004.2858
663,138699,23663.6872,31063.9548
664,138700,23755.9081,31055.4975
665,138702,23757.8651,31106.7257
666,138703,23714.7939,31084.0167
667,138704,23792.739,31149.8444
668,138705,23693.8297,31144.6559
669,138706,23730.2701,31177.2415
670,138707,23961.9952,30761.1017
671,138811,24096.3571,30691.6379
672,138818,23966.7838,30693.0595
673,138835,24034.5455,30765.0379
674,138886,23509.5364,31264.482
675,138941,23906.5164,30748.1267
676,138943,23904.561,30794.2426
677,138944,23852.9231,30809.4004
678,138945,23884.7444,30850.5022
679,138946,23835.5395,30906.1785
680,138995,24065.7893,29957.322
681,138996,24081.1729,29962.9353
682,138998,24081.1729,29962.9353
683,138999,24065.7893,29957.322
684,139000,24081.1729,29962.9353
685,139001,24104.5676,29987.9746
686,139003,24104.5676,29987.9746
687,139004,24110.7522,30001.5561
688,139005,24104.5676,29987.9746
689,139006,24110.7522,30001.5561
690,139456,21565.322,32144.2688
691,139462,21580.8715,32004.1964
692,139525,24058.6966,30350.2637
693,139526,24109.9008,30348.3751
694,139527,24092.5406,30272.8636
695,139528,24044.1159,30287.2401
696,139529,23992.8855,30287.3593
697,139530,23920.5489,30290.6561
698,139531,23878.0123,30279.9175
699,139532,23844.2463,30257.5053
700,148954,24922.4588,30598.4693
701,148955,24987.3027,30604.1763
702,148957,25033.4916,30562.8859
703,149053,24669.3282,30003.7872
704,158746,26031.735,30328.3643
705,158747,26074.4211,30319.9537
706,158748,26183.8949,30371.6345
707,158749,26183.9116,30372.3317
708,159012,26336.0196,30469.4093
709,159013,26281.8954,30488.0362
710,159015,26216.7409,30495.5775
711,159187,26397.7642,30748.893
712,159192,26307.1489,30719.6677
713,159949,25110.4562,30392.506
714,159953,24849.4909,30114.0022
715,159954,24900.7365,30232.9089
716,159955,24884.714,30255.4338
717,159956,24857.1494,30291.1878
718,159957,24818.0631,30331.7069
719,159958,24778.4318,30257.4719
720,159959,24767.6671,30091.4026
721,159960,24773.7351,30156.9915
722,159961,24832.2668,30230.3029
723,159967,26805.705,30323.0812
724,168641,27670.4107,29416.29
725,168642,27672,29425.4566
726,168643,27668.6664,29429.5713
727,168644,27664.8142,29434.9554
728,168645,27661.063,29438.7312
729,168646,27651.4275,29452.9391
730,168647,27651.4275,29452.9391
731,168649,27651.4275,29452.9391
732,168650,27641.1614,29463.2078
733,168651,27638.9195,29467.1059
734,168652,27639.2512,29474.8848
735,168653,27630.1162,29475.2778
736,168654,27627.1494,29480.944
737,168721,28055.1736,29701.5075
738,168722,28052.0007,29705.5188
739,169016,28728.3711,29476.45
740,169038,28228.4513,29542.985
741,169046,28176.3771,29679.6865
742,169047,28172.6182,29683.8128
743,169048,28170.29,29688.8037
744,169049,28168.8032,29694.1003
745,169052,28163.6819,29703.8687
746,169057,28154.3435,29728.7312
747,169059,28139.4151,29744.1591
748,169060,28146.3036,29750.0095
749,169061,28145.7633,29755.4448
750,169062,28141.9753,29760.2605
751,169063,28141.0347,29765.8123
752,169064,28140.2419,29771.7553
753,169068,28128.824,29790.4601
754,169070,28123.2951,29801.4485
755,169244,27546.7087,29742.0614
756,169245,27548.9385,29736.09
757,169246,27549.6823,29729.9754
758,169247,27550.4624,29723.9023
759,169248,27552.0451,29718.0824
760,169249,27550.8548,29711.8189
761,169250,27552.0298,29705.2161
762,169251,27552.4325,29699.1144
763,169252,27553.5383,29693.4262
764,169253,27551.3064,29686.6037
765,169277,27507.7996,29713.1914
766,169278,27458.9742,29689.6726
767,169279,27534.7863,29641.4276
768,169367,28299.9754,28782.1957
769,169479,27372.1636,29735.9379
770,169480,27450.9931,29750.4897
771,169481,27479.3625,29749.8802
772,169483,27396.2493,29657.7345
773,169568,27384.4409,29941.9207
774,169586,27640.175,30209.886
775,169588,27640.9365,30277.6339
776,169638,27835.827,30248.4052
777,169642,27408.7208,30174.2081
778,169643,27403.7301,30175.5398
779,169644,27398.4691,30177.5218
780,169645,27393.4019,30180.2205
781,169646,27388.1022,30182.1517
782,169647,27383.0297,30184.4481
783,169648,27377.8815,30186.7707
784,169649,27372.6904,30188.8542
785,169650,27367.5932,30191.3365
786,169652,27357.2549,30195.6793
787,169653,27352.1627,30198.0143
788,169654,27347.0379,30200.4908
789,169655,27341.7968,30202.5929
790,169656,27336.6576,30204.949
791,169657,27331.1396,30208.4428
792,169658,28885.6365,30224.0109
793,169659,28803.2029,30212.5775
794,169660,28778.2302,30250.0318
795,169661,28897.7337,30293.9915
796,169758,28207.1914,29552.6805
797,169760,28201.9794,29554.4481
798,169761,28159.1656,29541.1297
799,169766,28185.8619,29559.7019
800,169767,28130.7796,29549.0681
801,169779,28149.6773,29571.8123
802,169780,28144.5084,29573.5691
803,169782,28134.3196,29577.7116
804,169783,28129.021,29578.9625
805,169784,28123.8263,29580.6906
806,169785,28118.6396,29582.3946
807,169797,28167.2396,29530.0718
808,169813,27092.1029,30468.2642
809,169814,27131.255,30470.662
810,169878,28687.0525,29837.7203
811,169905,27693.2276,29367.1923
812,169907,27641.9813,29399.3237
